Draw Date,Draw Number,Num1,Num2,Num3,Num4,Num5,Mega
"Saturday September 24, 2011",-,2,8,14,29,43,24
"Saturday October 18, 1986",1,4,9,33,36,39,47
"Saturday October 25, 1986",2,8,21,32,35,36,38
"Saturday November 1, 1986",3,20,30,32,43,44,47
"Saturday November 8, 1986",4,5,7,12,21,32,45
"Saturday November 15, 1986",5,4,5,18,41,47,48
"Saturday November 22, 1986",6,11,16,21,26,27,47
"Saturday November 29, 1986",7,2,10,19,23,26,30
"Saturday December 6, 1986",8,15,18,22,24,28,49
"Saturday December 13, 1986",9,3,13,17,19,41,47
"Saturday December 20, 1986",10,3,5,22,33,36,37
"Saturday December 27, 1986",11,1,7,21,33,38,42
"Saturday January 3, 1987",12,4,14,27,30,37,41
"Saturday January 10, 1987",13,4,18,21,33,34,40
"Saturday January 17, 1987",14,13,20,21,28,35,36
"Saturday January 24, 1987",15,8,10,13,21,35,48
"Saturday January 31, 1987",16,8,14,22,24,25,39
"Saturday February 7, 1987",17,9,16,26,36,40,47
"Saturday February 14, 1987",18,22,25,26,39,41,45
"Saturday February 21, 1987",19,3,15,21,24,27,34
"Saturday February 28, 1987",20,6,20,37,40,46,49
"Saturday March 7, 1987",21,2,4,9,18,22,28
"Saturday March 14, 1987",22,1,12,22,33,45,49
"Saturday March 21, 1987",23,1,4,13,18,27,28
"Saturday March 28, 1987",24,10,14,16,24,38,40
"Saturday April 4, 1987",25,2,3,8,23,24,31
"Saturday April 11, 1987",26,17,20,21,33,39,49
"Saturday April 18, 1987",27,2,15,26,31,35,47
"Saturday April 25, 1987",28,3,8,11,23,41,42
"Saturday May 2, 1987",29,1,2,15,17,23,42
"Saturday May 9, 1987",30,12,15,23,30,31,33
"Saturday May 16, 1987",31,1,3,9,18,34,42
"Saturday May 23, 1987",32,6,12,18,29,37,39
"Saturday May 30, 1987",33,3,8,13,19,23,36
"Saturday June 6, 1987",34,3,5,9,13,25,26
"Saturday June 13, 1987",35,1,11,29,39,47,48
"Saturday June 20, 1987",36,5,13,15,37,41,43
"Saturday June 27, 1987",37,8,10,12,26,28,29
"Saturday July 4, 1987",38,4,6,7,21,24,33
"Saturday July 11, 1987",39,11,13,16,20,26,48
